"","subjid","trialnums","block_iter","block","numatts","numcand","pref","age","party","race","prof","military","gender","ssmar","taxes","guns","polex","relig","partyown","ssmarown","taxesown","gunsown","profile","incl.ssmar","incl.taxes","incl.guns","num_issues_shown"
"13292",9,1,1,"5atts3cands",5,3,0,NA,2,NA,2,1,2,NA,2,NA,NA,NA,"No",NA,"No",NA,1,0,1,0,1
"27897",9,1,1,"5atts3cands",5,3,0,NA,2,NA,5,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,2,0,1,0,1
"42502",9,1,1,"5atts3cands",5,3,1,NA,3,NA,3,1,1,NA,4,NA,NA,NA,"Yes",NA,"Yes",NA,3,0,1,0,1
"13293",9,2,1,"5atts3cands",5,3,0,NA,1,NA,1,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,1,0,1,0,1
"27898",9,2,1,"5atts3cands",5,3,0,NA,1,NA,4,1,2,NA,3,NA,NA,NA,"No",NA,"Yes",NA,2,0,1,0,1
"42503",9,2,1,"5atts3cands",5,3,1,NA,2,NA,3,3,2,NA,3,NA,NA,NA,"No",NA,"Yes",NA,3,0,1,0,1
"13294",9,3,1,"5atts3cands",5,3,0,NA,2,NA,5,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,1,0,1,0,1
"27899",9,3,1,"5atts3cands",5,3,1,NA,3,NA,4,4,1,NA,1,NA,NA,NA,"Yes",NA,"No",NA,2,0,1,0,1
"42504",9,3,1,"5atts3cands",5,3,0,NA,2,NA,5,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,3,0,1,0,1
"13295",9,4,1,"5atts3cands",5,3,0,NA,1,NA,1,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,1,0,1,0,1
"27900",9,4,1,"5atts3cands",5,3,1,NA,1,NA,5,5,2,NA,2,NA,NA,NA,"No",NA,"No",NA,2,0,1,0,1
"42505",9,4,1,"5atts3cands",5,3,0,NA,2,NA,5,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,3,0,1,0,1
"13296",9,5,1,"5atts3cands",5,3,0,NA,3,NA,3,1,2,NA,3,NA,NA,NA,"Yes",NA,"Yes",NA,1,0,1,0,1
"27901",9,5,1,"5atts3cands",5,3,0,NA,1,NA,1,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,2,0,1,0,1
"42506",9,5,1,"5atts3cands",5,3,1,NA,3,NA,3,1,2,NA,3,NA,NA,NA,"Yes",NA,"Yes",NA,3,0,1,0,1
"13297",9,6,1,"5atts3cands",5,3,1,NA,2,NA,3,3,2,NA,3,NA,NA,NA,"No",NA,"Yes",NA,1,0,1,0,1
"27902",9,6,1,"5atts3cands",5,3,0,NA,2,NA,3,3,2,NA,3,NA,NA,NA,"No",NA,"Yes",NA,2,0,1,0,1
"42507",9,6,1,"5atts3cands",5,3,0,NA,3,NA,1,1,2,NA,2,NA,NA,NA,"Yes",NA,"No",NA,3,0,1,0,1
"13298",9,7,1,"5atts3cands",5,3,0,NA,2,NA,2,1,2,NA,2,NA,NA,NA,"No",NA,"No",NA,1,0,1,0,1
"27903",9,7,1,"5atts3cands",5,3,1,NA,2,NA,3,3,2,NA,3,NA,NA,NA,"No",NA,"Yes",NA,2,0,1,0,1
"42508",9,7,1,"5atts3cands",5,3,0,NA,2,NA,5,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,3,0,1,0,1
"13299",9,8,1,"5atts3cands",5,3,0,NA,1,NA,1,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,1,0,1,0,1
"27904",9,8,1,"5atts3cands",5,3,1,NA,2,NA,1,1,1,NA,4,NA,NA,NA,"No",NA,"Yes",NA,2,0,1,0,1
"42509",9,8,1,"5atts3cands",5,3,0,NA,2,NA,1,1,1,NA,4,NA,NA,NA,"No",NA,"Yes",NA,3,0,1,0,1
"13300",9,9,1,"5atts3cands",5,3,0,NA,3,NA,1,1,2,NA,2,NA,NA,NA,"Yes",NA,"No",NA,1,0,1,0,1
"27905",9,9,1,"5atts3cands",5,3,1,NA,3,NA,4,4,1,NA,1,NA,NA,NA,"Yes",NA,"No",NA,2,0,1,0,1
"42510",9,9,1,"5atts3cands",5,3,0,NA,1,NA,1,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,3,0,1,0,1
"13301",9,10,1,"5atts3cands",5,3,1,NA,1,NA,5,5,2,NA,2,NA,NA,NA,"No",NA,"No",NA,1,0,1,0,1
"27906",9,10,1,"5atts3cands",5,3,0,NA,1,NA,2,2,1,NA,4,NA,NA,NA,"No",NA,"Yes",NA,2,0,1,0,1
"42511",9,10,1,"5atts3cands",5,3,0,NA,2,NA,3,3,2,NA,3,NA,NA,NA,"No",NA,"Yes",NA,3,0,1,0,1
"13302",9,11,1,"5atts3cands",5,3,0,NA,1,NA,5,5,2,NA,2,NA,NA,NA,"No",NA,"No",NA,1,0,1,0,1
"27907",9,11,1,"5atts3cands",5,3,1,NA,1,NA,2,2,1,NA,4,NA,NA,NA,"No",NA,"Yes",NA,2,0,1,0,1
"42512",9,11,1,"5atts3cands",5,3,0,NA,1,NA,4,1,2,NA,3,NA,NA,NA,"No",NA,"Yes",NA,3,0,1,0,1
"13303",9,12,1,"5atts3cands",5,3,0,NA,1,NA,4,1,2,NA,3,NA,NA,NA,"No",NA,"Yes",NA,1,0,1,0,1
"27908",9,12,1,"5atts3cands",5,3,1,NA,2,NA,5,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,2,0,1,0,1
"42513",9,12,1,"5atts3cands",5,3,0,NA,2,NA,5,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,3,0,1,0,1
"13304",9,13,1,"5atts3cands",5,3,0,NA,1,NA,2,2,1,NA,4,NA,NA,NA,"No",NA,"Yes",NA,1,0,1,0,1
"27909",9,13,1,"5atts3cands",5,3,1,NA,3,NA,1,1,2,NA,2,NA,NA,NA,"Yes",NA,"No",NA,2,0,1,0,1
"42514",9,13,1,"5atts3cands",5,3,0,NA,1,NA,5,5,2,NA,2,NA,NA,NA,"No",NA,"No",NA,3,0,1,0,1
"13305",9,14,1,"5atts3cands",5,3,0,NA,3,NA,1,1,2,NA,2,NA,NA,NA,"Yes",NA,"No",NA,1,0,1,0,1
"27910",9,14,1,"5atts3cands",5,3,0,NA,1,NA,4,1,2,NA,3,NA,NA,NA,"No",NA,"Yes",NA,2,0,1,0,1
"42515",9,14,1,"5atts3cands",5,3,1,NA,3,NA,3,1,1,NA,4,NA,NA,NA,"Yes",NA,"Yes",NA,3,0,1,0,1
"13306",9,15,1,"5atts3cands",5,3,0,NA,2,NA,5,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,1,0,1,0,1
"27911",9,15,1,"5atts3cands",5,3,1,NA,2,NA,2,1,2,NA,2,NA,NA,NA,"No",NA,"No",NA,2,0,1,0,1
"42516",9,15,1,"5atts3cands",5,3,0,NA,2,NA,1,1,1,NA,4,NA,NA,NA,"No",NA,"Yes",NA,3,0,1,0,1
"13307",9,16,1,"5atts3cands",5,3,1,NA,1,NA,4,1,2,NA,3,NA,NA,NA,"No",NA,"Yes",NA,1,0,1,0,1
"27912",9,16,1,"5atts3cands",5,3,0,NA,1,NA,1,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,2,0,1,0,1
"42517",9,16,1,"5atts3cands",5,3,0,NA,2,NA,2,1,2,NA,2,NA,NA,NA,"No",NA,"No",NA,3,0,1,0,1
"13308",9,17,1,"5atts3cands",5,3,0,NA,2,NA,2,1,2,NA,2,NA,NA,NA,"No",NA,"No",NA,1,0,1,0,1
"27913",9,17,1,"5atts3cands",5,3,0,NA,3,NA,3,1,1,NA,4,NA,NA,NA,"Yes",NA,"Yes",NA,2,0,1,0,1
"42518",9,17,1,"5atts3cands",5,3,1,NA,2,NA,1,1,1,NA,4,NA,NA,NA,"No",NA,"Yes",NA,3,0,1,0,1
"13309",9,18,1,"5atts3cands",5,3,1,NA,3,NA,3,1,1,NA,4,NA,NA,NA,"Yes",NA,"Yes",NA,1,0,1,0,1
"27914",9,18,1,"5atts3cands",5,3,0,NA,1,NA,1,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,2,0,1,0,1
"42519",9,18,1,"5atts3cands",5,3,0,NA,2,NA,5,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,3,0,1,0,1
"13310",9,19,1,"5atts3cands",5,3,0,NA,2,NA,1,1,1,NA,4,NA,NA,NA,"No",NA,"Yes",NA,1,0,1,0,1
"27915",9,19,1,"5atts3cands",5,3,1,NA,3,NA,3,1,1,NA,4,NA,NA,NA,"Yes",NA,"Yes",NA,2,0,1,0,1
"42520",9,19,1,"5atts3cands",5,3,0,NA,1,NA,1,1,1,NA,1,NA,NA,NA,"No",NA,"No",NA,3,0,1,0,1
"13311",9,20,1,"5atts3cands",5,3,1,NA,3,NA,3,1,2,NA,3,NA,NA,NA,"Yes",NA,"Yes",NA,1,0,1,0,1
"27916",9,20,1,"5atts3cands",5,3,0,NA,2,NA,2,1,2,NA,2,NA,NA,NA,"No",NA,"No",NA,2,0,1,0,1
"42521",9,20,1,"5atts3cands",5,3,0,NA,2,NA,1,1,1,NA,4,NA,NA,NA,"No",NA,"Yes",NA,3,0,1,0,1
"13312",9,21,2,"5atts2cands",5,2,0,NA,3,NA,NA,1,1,4,NA,NA,NA,3,"Yes","Yes",NA,NA,1,1,0,0,1
"27917",9,21,2,"5atts2cands",5,2,1,NA,2,NA,NA,1,1,4,NA,NA,NA,2,"No","Yes",NA,NA,2,1,0,0,1
"42522",9,21,2,"5atts2cands",5,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0
"13313",9,22,2,"5atts2cands",5,2,1,NA,2,NA,NA,1,2,2,NA,NA,NA,2,"No","No",NA,NA,1,1,0,0,1
