"","Constituency","register","ps","n_nomiss","n_young_withmiss"
"1","Aberdeen South",1,"AB10 1",7,NA
"2","Aberdeen South",1,"AB10 1",1,NA
"3","Aberdeen South",1,"AB10 1",6,NA
"4","Aberdeen South",1,"AB10 1",4,NA
"5","Aberdeen South",1,"AB10 1",8,NA
"6","Aberdeen South",1,"AB10 1",13,3
"7","Aberdeen South",1,"AB10 1",1,NA
"8","Aberdeen South",1,"AB10 1",9,NA
"9","Aberdeen South",1,"AB10 1",6,NA
"10","Aberdeen South",1,"AB10 1",16,NA
"11","Aberdeen South",1,"AB10 1",49,8
"12","Aberdeen South",1,"AB10 1",14,NA
"13","Aberdeen South",1,"AB10 1",10,NA
"14","Aberdeen South",1,"AB10 1",25,NA
"15","Aberdeen South",1,"AB10 1",10,NA
"16","Aberdeen South",1,"AB10 1",5,NA
"17","Aberdeen South",1,"AB10 1",2,NA
"18","Aberdeen South",1,"AB10 1",2,NA
"19","Aberdeen South",1,"AB10 1",9,NA
"20","Aberdeen South",1,"AB10 1",12,NA
"21","Aberdeen South",1,"AB10 1",5,NA
"22","Aberdeen South",1,"AB10 1",1,NA
"23","Aberdeen South",1,"AB10 1",5,NA
"24","Aberdeen South",1,"AB10 1",13,NA
"25","Aberdeen South",1,"AB10 1",7,NA
"26","Aberdeen South",1,"AB10 1",23,NA
"27","Aberdeen South",1,"AB10 1",5,NA
"28","Aberdeen South",1,"AB10 1",12,2
"29","Aberdeen South",1,"AB10 1",13,NA
"30","Aberdeen South",1,"AB10 1",25,NA
"31","Aberdeen South",1,"AB10 1",25,NA
"32","Aberdeen South",1,"AB10 1",20,NA
"33","Aberdeen South",1,"AB10 1",5,NA
"34","Aberdeen South",1,"AB10 1",60,NA
"35","Aberdeen South",1,"AB10 1",7,NA
"36","Aberdeen South",1,"AB10 1",2,NA
"37","Aberdeen South",1,"AB10 1",3,NA
"38","Aberdeen South",1,"AB10 1",29,1
"39","Aberdeen South",1,"AB10 1",5,NA
"40","Aberdeen South",1,"AB10 1",3,NA
"41","Aberdeen South",1,"AB10 1",1,NA
"42","Aberdeen South",1,"AB10 1",23,NA
"43","Aberdeen South",1,"AB10 1",52,NA
"44","Aberdeen South",1,"AB10 1",4,NA
"45","Aberdeen South",1,"AB10 1",24,1
"46","Aberdeen South",1,"AB10 1",41,2
"47","Aberdeen South",1,"AB10 1",43,2
"48","Aberdeen South",1,"AB10 1",2,NA
"49","Aberdeen South",1,"AB10 1",7,NA
"50","Aberdeen South",1,"AB10 1",18,NA
"51","Aberdeen South",1,"AB10 1",20,NA
"52","Aberdeen South",1,"AB10 1",5,NA
"53","Aberdeen South",1,"AB10 1",5,NA
"54","Aberdeen South",1,"AB10 1",8,NA
"55","Aberdeen South",1,"AB10 1",2,NA
"56","Aberdeen South",1,"AB10 1",6,NA
"57","Aberdeen South",1,"AB10 1",11,NA
"58","Aberdeen South",1,"AB10 1",3,NA
"59","Aberdeen South",1,"AB10 1",2,NA
"60","Aberdeen South",1,"AB10 1",18,NA
"61","Aberdeen South",1,"AB10 1",19,2
"62","Aberdeen South",1,"AB10 1",6,NA
"63","Aberdeen South",1,"AB10 1",22,NA
"64","Aberdeen South",1,"AB10 1",11,NA
"65","Aberdeen South",1,"AB10 1",9,NA
"66","Aberdeen South",1,"AB10 1",56,1
"67","Aberdeen South",1,"AB10 1",35,NA
"68","Aberdeen South",1,"AB10 1",33,NA
"69","Aberdeen South",1,"AB10 1",2,NA
"70","Aberdeen South",1,"AB10 1",16,NA
"71","Aberdeen South",1,"AB10 1",3,NA
"72","Aberdeen South",1,"AB10 1",5,1
"73","Aberdeen South",1,"AB10 1",10,NA
"74","Aberdeen South",1,"AB10 1",8,2
"75","Aberdeen South",1,"AB10 1",20,1
"76","Aberdeen South",1,"AB10 1",6,NA
"77","Aberdeen South",1,"AB10 1",22,NA
"78","Aberdeen South",1,"AB10 1",15,NA
"79","Aberdeen South",1,"AB10 1",9,NA
"80","Aberdeen South",1,"AB10 1",7,1
"81","Aberdeen South",1,"AB10 1",25,3
"82","Aberdeen South",1,"AB10 1",15,NA
"83","Aberdeen South",1,"AB10 1",20,6
"84","Aberdeen South",1,"AB10 1",1,NA
"85","Aberdeen South",1,"AB10 1",4,NA
"86","Aberdeen South",1,"AB10 1",63,3
"87","Aberdeen South",1,"AB10 1",1,NA
"88","Aberdeen South",1,"AB10 1",4,NA
"89","Aberdeen South",1,"AB10 1",5,NA
"90","Aberdeen South",1,"AB10 6",35,1
"91","Aberdeen South",1,"AB10 6",16,NA
"92","Aberdeen South",1,"AB10 6",31,NA
"93","Aberdeen South",1,"AB10 6",12,NA
"94","Aberdeen South",1,"AB10 6",83,NA
"95","Aberdeen South",1,"AB10 6",14,NA
"96","Aberdeen South",1,"AB10 6",53,4
"97","Aberdeen South",1,"AB10 6",59,3
"98","Aberdeen South",1,"AB10 6",29,2
"99","Aberdeen South",1,"AB10 6",93,3
"100","Aberdeen South",1,"AB10 6",9,1
"101","Aberdeen South",1,"AB10 6",13,1
"102","Aberdeen South",1,"AB10 6",31,1
"103","Aberdeen South",1,"AB10 6",29,7
"104","Aberdeen South",1,"AB10 6",14,1
"105","Aberdeen South",1,"AB10 6",25,2
"106","Aberdeen South",1,"AB10 6",98,14
"107","Aberdeen South",1,"AB10 6",11,4
"108","Aberdeen South",1,"AB10 6",40,3
"109","Aberdeen South",1,"AB10 6",89,7
"110","Aberdeen South",1,"AB10 6",26,2
"111","Aberdeen South",1,"AB10 6",56,10
"112","Aberdeen South",1,"AB10 6",8,1
"113","Aberdeen South",1,"AB10 6",2,NA
"114","Aberdeen South",1,"AB10 6",3,NA
"115","Aberdeen South",1,"AB10 6",21,NA
"116","Aberdeen South",1,"AB10 6",17,NA
"117","Aberdeen South",1,"AB10 6",35,1
"118","Aberdeen South",1,"AB10 6",3,NA
"119","Aberdeen South",1,"AB10 6",29,3
"120","Aberdeen South",1,"AB10 6",24,5
"121","Aberdeen South",1,"AB10 6",15,NA
"122","Aberdeen South",1,"AB10 6",17,NA
"123","Aberdeen South",1,"AB10 6",20,NA
"124","Aberdeen South",1,"AB10 6",19,NA
"125","Aberdeen South",1,"AB10 6",33,3
"126","Aberdeen South",1,"AB10 6",36,NA
"127","Aberdeen South",1,"AB10 6",2,NA
"128","Aberdeen South",1,"AB10 6",12,1
"129","Aberdeen South",1,"AB10 6",25,NA
"130","Aberdeen South",1,"AB10 6",9,NA
"131","Aberdeen South",1,"AB10 6",51,NA
